text,translation,note,categories
the marathon runner crossed the finish line with a personal best time,マラソンランナーが自己ベストタイムでゴールラインを越えた,,"sports,fitness,easy"
warm up for at least ten minutes before starting any intense exercise,激しい運動を始める前に少なくとも10分間ウォームアップする,,"sports,fitness,easy"
the goalkeeper made a spectacular diving save in the final minute,ゴールキーパーが最終分に見事なダイビングセーブをした,,"sports,fitness,easy"
proper form is more important than lifting heavy weights,正しいフォームは重い重量を持ち上げることよりも重要だ,,"sports,fitness,easy"
the tennis player served an ace on match point to win the championship,テニス選手がマッチポイントでエースサーブを決めて優勝した,,"sports,fitness,medium"
high-intensity interval training alternates between bursts of activity and rest periods,高強度インターバルトレーニングは活動のバーストと休息期間を交互に行う,,"sports,fitness,medium"
the basketball team executed a fast break leading to an easy layup,バスケットボールチームが速攻を成功させ簡単なレイアップにつなげた,,"sports,fitness,medium"
stretching after exercise helps reduce muscle soreness and improve flexibility,運動後のストレッチは筋肉痛を軽減し柔軟性を向上させる,,"sports,fitness,easy"
the swimmer broke the world record in the two hundred meter freestyle,水泳選手が200メートル自由形で世界記録を更新した,,"sports,fitness,medium"
compound exercises like squats and deadlifts work multiple muscle groups simultaneously,スクワットやデッドリフトなどの複合運動は複数の筋肉群を同時に鍛える,,"sports,fitness,medium"
the referee awarded a penalty kick after the foul inside the box,審判はペナルティエリア内のファウルの後にペナルティキックを与えた,,"sports,fitness,medium"
progressive overload is the gradual increase of stress placed on the body during training,漸進的過負荷はトレーニング中に体にかかるストレスの段階的な増加である,,"sports,fitness,medium"
the cyclist completed the mountain stage in first place despite the rain,雨にもかかわらず自転車選手が山岳ステージを1位で完走した,,"sports,fitness,medium"
maintaining good posture during exercise prevents injuries and improves performance,運動中に良い姿勢を維持することで怪我を防ぎパフォーマンスを向上させる,,"sports,fitness,easy"
the boxer won by unanimous decision after twelve rounds of intense fighting,ボクサーは12ラウンドの激しい戦いの後に判定全会一致で勝利した,,"sports,fitness,medium"
yoga combines physical postures breathing techniques and meditation for overall wellness,ヨガは身体のポーズ・呼吸法・瞑想を組み合わせた総合的な健康法だ,,"sports,fitness,easy"
the sprinter exploded out of the blocks and crossed the finish line in under ten seconds,短距離走者がスタートブロックから飛び出し10秒未満でゴールした,,"sports,fitness,medium"
recovery days are essential to allow muscles to repair and grow stronger,回復日は筋肉が修復しより強くなるために不可欠である,,"sports,fitness,easy"
the volleyball team scored the winning point with a powerful spike,バレーボールチームが強力なスパイクで勝利のポイントを決めた,,"sports,fitness,medium"
tracking your heart rate during cardio helps optimize your training intensity,有酸素運動中の心拍数を追跡することでトレーニング強度を最適化できる,,"sports,fitness,medium"
the figure skater performed a flawless triple axel during the competition,フィギュアスケーターが大会で完璧なトリプルアクセルを演じた,,"sports,fitness,hard"
adequate protein intake supports muscle recovery after strength training sessions,十分なタンパク質摂取は筋力トレーニング後の筋肉回復をサポートする,,"sports,fitness,medium"
the rugby scrum requires coordinated effort from all eight forwards,ラグビーのスクラムは8人のフォワード全員の連携した努力を必要とする,,"sports,fitness,medium"
foam rolling helps release tight fascia and improve range of motion,フォームローリングは硬い筋膜をほぐし可動域を改善する,,"sports,fitness,medium"
the golfer sank a thirty-foot putt on the eighteenth hole to win the tournament,ゴルファーが18番ホールで30フィートのパットを沈めてトーナメントに勝った,,"sports,fitness,medium"
resistance band exercises are effective for building strength without heavy equipment,レジスタンスバンドエクササイズは重い器具なしで筋力を鍛えるのに効果的だ,,"sports,fitness,easy"
the gymnast scored a perfect ten on the balance beam routine,体操選手が平均台の演技で10点満点を出した,,"sports,fitness,medium"
staying hydrated during exercise is crucial for maintaining peak performance,運動中の水分補給はピークパフォーマンスを維持するために不可欠だ,,"sports,fitness,easy"
the ice hockey player scored a hat trick in the playoff game,アイスホッケー選手がプレーオフの試合でハットトリックを達成した,,"sports,fitness,medium"
plyometric exercises like box jumps improve explosive power and agility,ボックスジャンプなどのプライオメトリクス運動は爆発的なパワーと敏捷性を向上させる,,"sports,fitness,hard"
the soccer match ended in a dramatic penalty shootout,サッカーの試合は劇的なPK戦で終わった,,"sports,fitness,easy"
core stability exercises strengthen the muscles that support your spine,体幹安定性エクササイズは背骨を支える筋肉を強化する,,"sports,fitness,easy"
the Formula One driver overtook three cars on the final lap,F1ドライバーが最終ラップで3台を追い抜いた,,"sports,fitness,medium"
a balanced diet is just as important as regular exercise for overall health,バランスの取れた食事は全体的な健康にとって定期的な運動と同様に重要だ,,"sports,fitness,easy"
the cricket batsman scored a century in the test match against Australia,クリケットの打者がオーストラリアとのテストマッチでセンチュリーを記録した,,"sports,fitness,medium"
functional training mimics everyday movements to improve strength and coordination,ファンクショナルトレーニングは日常の動作を模倣して筋力と協調性を向上させる,,"sports,fitness,medium"
the archery champion hit the bullseye from seventy meters away,アーチェリーのチャンピオンが70メートル離れた的の中心を射抜いた,,"sports,fitness,medium"
sleep plays a critical role in athletic recovery and performance optimization,睡眠はアスリートの回復とパフォーマンスの最適化に重要な役割を果たす,,"sports,fitness,easy"
the table tennis rally lasted over one hundred strokes before a winner was decided,卓球のラリーは勝者が決まるまで100回以上のストロークが続いた,,"sports,fitness,medium"
periodization divides the training year into phases to peak at competition time,ピリオダイゼーションはトレーニング年度を段階に分け大会時にピークに達するようにする,,"sports,fitness,hard"
the weightlifter successfully completed a clean and jerk of two hundred kilograms,重量挙げ選手が200キログラムのクリーン&ジャークを成功させた,,"sports,fitness,hard"
cross-training in different sports reduces the risk of overuse injuries,異なるスポーツでのクロストレーニングは使い過ぎによる怪我のリスクを減らす,,"sports,fitness,medium"
the javelin throw requires a combination of speed strength and technique,やり投げは速度・筋力・技術の組み合わせを必要とする,,"sports,fitness,medium"
dynamic stretching before exercise prepares muscles for the movements ahead,運動前の動的ストレッチはこれから行う動作に筋肉を準備させる,,"sports,fitness,easy"
the decathlon is one of the most demanding events in track and field athletics,十種競技は陸上競技で最も過酷な種目の一つである,,"sports,fitness,hard"
body weight exercises like push-ups and pull-ups require no equipment at all,腕立て伏せや懸垂などの自重エクササイズは器具を一切必要としない,,"sports,fitness,easy"
the surfer caught a massive wave and rode it all the way to the shore,サーファーが巨大な波に乗り岸まで乗り切った,,"sports,fitness,medium"
mental toughness is often what separates good athletes from great ones,精神的な強さはしばしば良いアスリートと偉大なアスリートを分けるものだ,,"sports,fitness,medium"
the relay team passed the baton smoothly and won the gold medal,リレーチームがスムーズにバトンをつなぎ金メダルを獲得した,,"sports,fitness,medium"
interval running alternating between sprinting and jogging improves cardiovascular endurance,スプリントとジョギングを交互にするインターバルランニングは心肺持久力を向上させる,,"sports,fitness,medium"
the triathlon consists of swimming cycling and running completed in succession,トライアスロンは水泳・自転車・ランニングを連続して行う競技だ,,"sports,fitness,medium"
eccentric muscle contractions control the lowering phase of a weightlifting movement,エキセントリック筋収縮はウエイトリフティングの下降局面を制御する,,"sports,fitness,hard"
the fencing match was decided by a single touch in the final bout,フェンシングの試合は最終戦で一本のタッチで決まった,,"sports,fitness,medium"
consistent training over months and years yields better results than short intense bursts,数か月から数年の一貫したトレーニングは短い激しいバーストよりも良い結果をもたらす,,"sports,fitness,easy"
the rowing crew synchronized their strokes perfectly to cross the finish line first,漕艇クルーはストロークを完璧に同期させて最初にゴールラインを越えた,,"sports,fitness,medium"
listening to your body and resting when needed prevents burnout and chronic injuries,体の声を聞き必要な時に休むことでバーンアウトと慢性的な怪我を防ぐ,,"sports,fitness,easy"
the pole vaulter cleared six meters to set a new national record,棒高跳び選手が6メートルをクリアし新しい国内記録を樹立した,,"sports,fitness,hard"
mobility exercises improve joint health and reduce stiffness from sedentary lifestyles,モビリティエクササイズは関節の健康を改善し座りがちな生活による硬さを軽減する,,"sports,fitness,medium"
the sumo wrestler used a powerful throw to defeat his opponent,相撲力士が強力な投げで対戦相手を倒した,,"sports,fitness,medium"
wearable fitness trackers help monitor daily activity levels and sleep quality,ウェアラブルフィットネストラッカーは日常の活動量と睡眠の質を監視するのに役立つ,,"sports,fitness,easy"
the long jump requires explosive takeoff speed and precise body positioning,走り幅跳びは爆発的な踏み切り速度と正確な体の位置決めを必要とする,,"sports,fitness,medium"
pilates focuses on controlled movements that strengthen the core and improve posture,ピラティスは体幹を強化し姿勢を改善するコントロールされた動きに焦点を当てる,,"sports,fitness,easy"
the sailing team navigated through strong winds to win the regatta,セーリングチームが強風の中を航行しレガッタに勝利した,,"sports,fitness,medium"
the anaerobic threshold is the exercise intensity at which lactate begins to accumulate,無酸素性閾値は乳酸が蓄積し始める運動強度である,,"sports,fitness,hard"
the baseball pitcher threw a ninety-eight mile per hour fastball for a strikeout,野球の投手が時速98マイルの速球で三振を奪った,,"sports,fitness,medium"
flexibility training should be included as a regular part of any fitness program,柔軟性トレーニングはどんなフィットネスプログラムにも定期的に含めるべきだ,,"sports,fitness,easy"
the diver performed a reverse three and a half somersault with incredible precision,飛び込み選手が驚くべき精度で後ろ3回半宙返りを行った,,"sports,fitness,hard"
the maximum heart rate is commonly estimated as 220 minus your age,最大心拍数は一般的に220から年齢を引いた数として推定される,,"sports,fitness,medium"
the karate black belt demonstrated a series of complex kata movements,空手の黒帯が複雑な型の動きの連続を実演した,,"sports,fitness,medium"
