text,translation,note,categories
cognitive behavioral therapy helps patients identify and change negative thought patterns,認知行動療法は患者が否定的な思考パターンを特定し変えるのを助ける,,"psychology,philosophy,hard"
Maslow's hierarchy of needs places self-actualization at the top of the pyramid,マズローの欲求段階説はピラミッドの頂上に自己実現を置く,,"psychology,philosophy,medium"
existentialism emphasizes individual freedom and the responsibility of personal choice,実存主義は個人の自由と個人的選択の責任を強調する,,"psychology,philosophy,hard"
the placebo effect demonstrates the power of belief in influencing physical outcomes,プラセボ効果は身体的な結果に影響を与える信念の力を示す,,"psychology,philosophy,medium"
Plato's allegory of the cave illustrates the difference between reality and perception,プラトンの洞窟の比喩は現実と知覚の違いを例示する,,"psychology,philosophy,hard"
classical conditioning was demonstrated by Pavlov through experiments with dogs,古典的条件づけはパブロフが犬を使った実験で実証した,,"psychology,philosophy,medium"
the Socratic method uses a series of questions to stimulate critical thinking,ソクラテス式問答法は批判的思考を刺激するための一連の質問を使用する,,"psychology,philosophy,medium"
emotional intelligence is the ability to recognize and manage one's own emotions and those of others,感情知能とは自分と他者の感情を認識し管理する能力のことだ,,"psychology,philosophy,medium"
Nietzsche declared that God is dead meaning traditional values had lost their authority,ニーチェは神は死んだと宣言し伝統的な価値観が権威を失ったことを意味した,,"psychology,philosophy,hard"
the Stanford prison experiment revealed how situational factors influence human behavior,スタンフォード監獄実験は状況要因がいかに人間の行動に影響するかを明らかにした,,"psychology,philosophy,hard"
utilitarianism judges actions based on whether they maximize overall happiness,功利主義は行動が全体的な幸福を最大化するかどうかで判断する,,"psychology,philosophy,hard"
the fight or flight response is the body's automatic reaction to perceived threats,闘争・逃走反応は知覚された脅威に対する体の自動的な反応である,,"psychology,philosophy,medium"
Descartes's famous statement I think therefore I am established the foundation of modern philosophy,デカルトの有名な命題「我思うゆえに我あり」は近代哲学の基礎を確立した,,"psychology,philosophy,hard"
positive psychology focuses on what makes life most worth living,ポジティブ心理学は人生を最も生きる価値のあるものにするものに焦点を当てる,,"psychology,philosophy,easy"
