text,translation,note,categories
deforestation contributes to habitat loss and increased carbon dioxide emissions,森林破壊は生息地の喪失と二酸化炭素排出量の増加に寄与する,,"environment,nature,medium"
coral bleaching occurs when rising ocean temperatures stress marine ecosystems,サンゴの白化は海水温の上昇が海洋生態系にストレスを与えるときに起こる,,"environment,nature,medium"
renewable energy sources like solar and wind reduce dependence on fossil fuels,太陽光や風力などの再生可能エネルギー源は化石燃料への依存を減らす,,"environment,nature,medium"
the Amazon rainforest produces approximately twenty percent of the world's oxygen,アマゾンの熱帯雨林は世界の酸素の約20%を生産する,,"environment,nature,medium"
plastic pollution in the oceans threatens marine wildlife and ecosystems,海洋のプラスチック汚染は海洋野生生物と生態系を脅かす,,"environment,nature,easy"
biodiversity loss weakens ecosystems and their ability to withstand environmental changes,生物多様性の喪失は生態系とその環境変化への耐性を弱める,,"environment,nature,medium"
carbon capture technology removes carbon dioxide directly from the atmosphere,炭素回収技術は大気から直接二酸化炭素を除去する,,"environment,nature,hard"
wetlands act as natural water filters and flood control systems,湿地は天然の水のフィルターと洪水制御システムとして機能する,,"environment,nature,medium"
the melting of polar ice caps is accelerating global sea level rise,極地の氷冠の融解が世界的な海面上昇を加速させている,,"environment,nature,medium"
sustainable agriculture practices minimize environmental impact while maintaining food production,持続可能な農業慣行は食料生産を維持しながら環境への影響を最小化する,,"environment,nature,medium"
the Great Barrier Reef is the largest coral reef system in the world,グレートバリアリーフは世界最大のサンゴ礁システムである,,"environment,nature,easy"
ocean acidification threatens shellfish and organisms that build calcium carbonate structures,海洋酸性化は貝類と炭酸カルシウム構造を作る生物を脅かす,,"environment,nature,hard"
urban green spaces improve air quality and provide habitats for wildlife,都市の緑地は大気質を改善し野生動物の生息地を提供する,,"environment,nature,easy"
the ozone layer protects life on Earth from harmful ultraviolet radiation,オゾン層は有害な紫外線放射から地球上の生命を守る,,"environment,nature,medium"
composting organic waste reduces landfill methane emissions,有機廃棄物の堆肥化は埋立地のメタン排出を減少させる,,"environment,nature,easy"
migratory birds travel thousands of kilometers between breeding and wintering grounds,渡り鳥は繁殖地と越冬地の間を何千キロメートルも移動する,,"environment,nature,medium"
electric vehicles produce zero tailpipe emissions during operation,電気自動車は走行中に排気ガスを出さない,,"environment,nature,easy"
the water cycle involves evaporation condensation precipitation and collection,水循環は蒸発・凝結・降水・集水を含む,,"environment,nature,easy"
endangered species protection requires both habitat conservation and anti-poaching efforts,絶滅危惧種の保護には生息地の保全と密猟対策の両方が必要だ,,"environment,nature,medium"
vertical farming uses significantly less water and land than traditional agriculture,垂直農法は従来の農業よりも大幅に少ない水と土地を使用する,,"environment,nature,medium"
the carbon footprint of air travel is significantly higher than rail transport,航空旅行のカーボンフットプリントは鉄道輸送よりも著しく高い,,"environment,nature,medium"
mangrove forests protect coastlines from erosion and serve as nurseries for marine life,マングローブ林は海岸線を浸食から守り海洋生物の苗床として機能する,,"environment,nature,medium"
recycling aluminum saves ninety-five percent of the energy needed to produce it from raw materials,アルミニウムのリサイクルは原材料からの製造に必要なエネルギーの95%を節約する,,"environment,nature,medium"
permafrost thawing releases stored methane which accelerates global warming,永久凍土の融解は貯蔵されたメタンを放出し地球温暖化を加速させる,,"environment,nature,hard"
pollinator decline threatens global food security as many crops depend on insect pollination,花粉媒介者の減少は多くの作物が昆虫の受粉に依存しているため世界の食料安全保障を脅かす,,"environment,nature,hard"
reforestation programs aim to restore degraded lands and increase carbon sequestration,植林プログラムは劣化した土地の回復と炭素隔離の増加を目指す,,"environment,nature,medium"
microplastics have been found in drinking water food and even human blood,マイクロプラスチックは飲料水・食品・さらには人間の血液からも見つかっている,,"environment,nature,medium"
wind energy is one of the fastest growing renewable energy sources worldwide,風力エネルギーは世界で最も急速に成長している再生可能エネルギー源の一つだ,,"environment,nature,easy"
the sixth mass extinction is being driven primarily by human activity,第六次大量絶滅は主に人間の活動によって引き起こされている,,"environment,nature,hard"
desertification turns fertile land into desert due to drought and unsustainable land use,砂漠化は干ばつと持続不可能な土地利用により肥沃な土地を砂漠に変える,,"environment,nature,medium"
hydrogen fuel cells produce electricity with water as the only byproduct,水素燃料電池は水だけを副産物として電気を生産する,,"environment,nature,medium"
the circular economy model aims to eliminate waste by reusing and recycling materials,循環型経済モデルは材料の再使用とリサイクルによって廃棄物をなくすことを目指す,,"environment,nature,medium"
light pollution disrupts nocturnal wildlife and obscures the night sky,光害は夜行性の野生動物を混乱させ夜空を見えにくくする,,"environment,nature,easy"
geothermal energy harnesses heat from the Earth's interior to generate electricity,地熱エネルギーは地球内部の熱を利用して電気を生成する,,"environment,nature,medium"
invasive species can devastate local ecosystems by outcompeting native organisms,外来種は在来の生物を競争で圧倒し地域の生態系を破壊することがある,,"environment,nature,medium"
the Paris Agreement aims to limit global temperature rise to 1.5 degrees above pre-industrial levels,パリ協定は世界の気温上昇を産業革命前から1.5度に制限することを目指す,,"environment,nature,medium"
organic farming avoids synthetic pesticides and fertilizers to protect soil health,有機農業は土壌の健康を守るために合成農薬と肥料を避ける,,"environment,nature,easy"
glacial retreat is one of the most visible indicators of climate change,氷河の後退は気候変動の最も目に見える指標の一つだ,,"environment,nature,medium"
tidal energy converts the kinetic energy of ocean tides into electrical power,潮力エネルギーは海の潮汐の運動エネルギーを電力に変換する,,"environment,nature,hard"
noise pollution from urban areas affects both human health and animal behavior,都市部の騒音公害は人間の健康と動物の行動の両方に影響を与える,,"environment,nature,easy"
the ecological footprint measures how much of the Earth's resources a person or nation consumes,エコロジカルフットプリントは個人や国がどれだけの地球の資源を消費するかを測定する,,"environment,nature,medium"
phytoplankton produce about half of the oxygen in Earth's atmosphere through photosynthesis,植物プランクトンは光合成により地球の大気中の酸素の約半分を生産する,,"environment,nature,hard"
reducing food waste is one of the most effective ways to lower greenhouse gas emissions,食品廃棄の削減は温室効果ガス排出を減らす最も効果的な方法の一つだ,,"environment,nature,easy"
bioremediation uses living organisms to clean up contaminated soil and water,バイオレメディエーションは汚染された土壌と水を浄化するために生物を使用する,,"environment,nature,hard"
the albedo effect describes how reflective surfaces like ice and snow bounce sunlight back into space,アルベド効果は氷や雪のような反射面が太陽光を宇宙に反射する仕組みを表す,,"environment,nature,hard"
rain gardens capture and filter stormwater runoff reducing urban water pollution,レインガーデンは雨水の流出を捕捉し濾過して都市の水質汚染を減らす,,"environment,nature,medium"
the butterfly effect illustrates how small changes in nature can lead to large consequences,バタフライ効果は自然界の小さな変化が大きな結果につながることを示す,,"environment,nature,medium"
sustainable fisheries management ensures marine populations remain healthy for future generations,持続可能な漁業管理は海洋生物の個体数を将来の世代のために健全に保つ,,"environment,nature,medium"
green building certifications like LEED promote energy-efficient and environmentally responsible construction,LEEDなどのグリーンビルディング認証はエネルギー効率の良い環境に配慮した建設を推進する,,"environment,nature,medium"
the thermohaline circulation drives global ocean currents and influences weather patterns worldwide,熱塩循環は地球の海流を駆動し世界中の天候パターンに影響を与える,,"environment,nature,hard"
citizen science projects engage the public in monitoring local environmental conditions,市民科学プロジェクトは地域の環境条件の監視に市民を参加させる,,"environment,nature,easy"
