text,translation,note,categories
I would like to check in please,チェックインをお願いします,,"travel,tourism,easy"
what time is the next flight to London,ロンドンへの次の便は何時ですか,,"travel,tourism,easy"
could you recommend a good hotel near the train station,駅の近くの良いホテルを教えてもらえますか,,"travel,tourism,easy"
I need to exchange some currency before my trip,旅行前にいくらか両替する必要があります,,"travel,tourism,easy"
the boarding gate has been changed to gate twelve,搭乗ゲートがゲート12に変更されました,,"travel,tourism,medium"
please fasten your seatbelt during takeoff and landing,離着陸時にシートベルトを締めてください,,"travel,tourism,easy"
the tour guide showed us the ancient ruins of the medieval castle,ツアーガイドが中世の城の古代遺跡を案内してくれた,,"travel,tourism,medium"
we got lost trying to find our way back to the hotel without a map,地図なしでホテルに戻る道を探して迷ってしまった,,"travel,tourism,easy"
the cruise ship departed from the harbor at sunset,クルーズ船が日没時に港を出発した,,"travel,tourism,medium"
I booked a round-trip ticket with a layover in Singapore,シンガポール乗り継ぎの往復航空券を予約した,,"travel,tourism,medium"
the customs officer asked me to declare all items purchased abroad,税関職員が海外で購入したすべての品物を申告するように言った,,"travel,tourism,medium"
the hotel concierge arranged a private city tour for our group,ホテルのコンシェルジュが私たちのグループにプライベートシティツアーを手配してくれた,,"travel,tourism,medium"
we rented a car at the airport to explore the countryside,田園地帯を探索するために空港でレンタカーを借りた,,"travel,tourism,medium"
the train from Paris to Amsterdam takes about three and a half hours,パリからアムステルダムまでの列車は約3時間半かかる,,"travel,tourism,medium"
I left my passport at the reception desk by mistake,間違ってパスポートをフロントに置いてきてしまった,,"travel,tourism,easy"
the airline lost my luggage during the connecting flight,乗り継ぎ便の際に航空会社が私の荷物を紛失した,,"travel,tourism,medium"
we took a ferry across the channel to reach the island,島に着くためにフェリーで海峡を渡った,,"travel,tourism,medium"
the bed and breakfast had a charming view of the mountain valley,B&Bからは山の谷の魅力的な景色が見えた,,"travel,tourism,medium"
I need to apply for a tourist visa before entering the country,その国に入国する前に観光ビザを申請する必要がある,,"travel,tourism,medium"
the local market was full of handmade crafts and fresh produce,地元の市場は手作りの工芸品と新鮮な農産物でいっぱいだった,,"travel,tourism,easy"
the guided walking tour of the old town lasted about two hours,旧市街のガイド付きウォーキングツアーは約2時間続いた,,"travel,tourism,medium"
we stayed at a youth hostel to save money during our backpacking trip,バックパッキング旅行中に節約するためにユースホステルに泊まった,,"travel,tourism,easy"
