text,translation,note
"git commit -m ""initial commit""",git commit で initial commit というメッセージを付ける,
npm install --save-dev typescript,TypeScript を開発依存としてインストールする,
docker compose up --build --detach,Docker Compose でビルドしてバックグラウンド起動する,
const result = await fetch(apiUrl),apiUrl に fetch して結果を待つ,
function greet(name: string): string { return `Hello ${name}`; },名前を受け取り Hello を返す greet 関数,
"import React from ""react""",React をインポートする,
SELECT * FROM users WHERE id = 1,users テーブルから id が1の行を取得する SQL,
ssh -i ~/.ssh/id_rsa user@192.168.1.100,指定鍵で 192.168.1.100 の user に SSH 接続する,
export default function App(): JSX.Element,JSX.Element を返す App コンポーネントをデフォルトエクスポートする,
git push origin main --force-with-lease,main ブランチへ強制保護付きで push する,
pip install -r requirements.txt,requirements.txt から Python 依存をインストールする,
curl -X POST https://api.example.com/v1/users,users API に POST リクエストを送る,
interface User { id: number; name: string; },id と name を持つ User インターフェース,
"const [state, setState] = useState<string>("""")",state と setState を文字列型で useState 初期化する,
npx create-react-app my-app --template typescript,TypeScript テンプレートで React アプリを作成する,
ALTER TABLE users ADD COLUMN email VARCHAR(255),users テーブルに email 列を追加する SQL,
kubectl apply -f deployment.yaml,deployment.yaml を Kubernetes に適用する,
"grep -r ""TODO"" ./src --include=""*.ts""",src 配下の TypeScript から TODO を再帰検索する,
chmod 600 ~/.ssh/id_rsa && chmod 700 ~/.ssh,SSH秘密鍵と ~/.ssh の権限を安全な値に設定する,
tar -czf archive.tar.gz ./dist,dist ディレクトリを archive.tar.gz に圧縮する,
type Props = { onClick: () => void; label: string },onClick と label を持つ Props 型,
"console.error(""Unexpected error:"", err.message)",予期しないエラー内容を console.error で出力する,
"useEffect(() => { fetchData(); }, [userId])",userId 変更時に fetchData を実行する useEffect,
prisma migrate dev --name add_user_table,add_user_table という名前で Prisma マイグレーションを作成する,
docker build -t myapp:latest --no-cache .,キャッシュなしで myapp:latest の Docker イメージをビルドする,
