text,translation,note,categories
the mitochondria is the powerhouse of the cell,ミトコンドリアは細胞の発電所である,,"biology,academic,hard"
photosynthesis converts sunlight into chemical energy stored in glucose,光合成は太陽光をグルコースに蓄えられた化学エネルギーへ変換する,,"biology,academic,hard"
DNA replication ensures genetic information is passed to daughter cells,DNA複製は遺伝情報が娘細胞に受け継がれることを保証する,,"biology,academic,hard"
enzymes lower the activation energy of biochemical reactions,酵素は生化学反応の活性化エネルギーを下げる,,"biology,academic,hard"
natural selection favors organisms best adapted to their environment,自然選択は環境に最もよく適応した生物を優遇する,,"biology,academic,hard"
ribosomes translate messenger RNA into polypeptide chains,リボソームはメッセンジャーRNAをポリペプチド鎖に翻訳する,,"biology,academic,hard"
the cell membrane regulates the passage of substances into and out of the cell,細胞膜は物質の細胞内外の通過を調節する,,"biology,academic,hard"
meiosis produces four genetically distinct haploid cells from a single diploid cell,減数分裂は1つの二倍体細胞から遺伝的に異なる4つの半数体細胞を生成する,,"biology,academic,hard"
symbiosis describes a close and long-term biological interaction between two species,共生は2種間の密接で長期的な生物学的相互作用を表す,,"biology,academic,hard"
the Krebs cycle generates electron carriers used in oxidative phosphorylation,クレブス回路は酸化的リン酸化に使用される電子キャリアを生成する,,"biology,academic,hard"
mutations in tumor suppressor genes can lead to uncontrolled cell division,がん抑制遺伝子の変異は制御されない細胞分裂を引き起こす可能性がある,,"biology,academic,hard"
the endoplasmic reticulum assists in protein folding and lipid synthesis,小胞体はタンパク質の折りたたみと脂質合成を補助する,,"biology,academic,hard"
homeostasis maintains internal conditions within a narrow optimal range,恒常性は内部条件を狭い最適範囲内に維持する,,"biology,academic,hard"
chloroplasts contain chlorophyll which absorbs light for photosynthesis,葉緑体は光合成のための光を吸収するクロロフィルを含む,,"biology,academic,hard"
the central dogma describes the flow of information from DNA to RNA to protein,セントラルドグマはDNAからRNAからタンパク質への情報の流れを表す,,"biology,academic,hard"
epigenetic modifications alter gene expression without changing the DNA sequence,エピジェネティック修飾はDNA配列を変えずに遺伝子発現を変化させる,,"biology,academic,hard"
the Hardy-Weinberg principle predicts allele frequencies in non-evolving populations,ハーディ・ワインベルグの法則は進化していない集団のアレル頻度を予測する,,"biology,academic,hard"
stem cells have the ability to differentiate into specialized cell types,幹細胞は特殊化した細胞型に分化する能力を持つ,,"biology,academic,hard"
the nitrogen cycle converts atmospheric nitrogen into biologically usable forms,窒素循環は大気中の窒素を生物学的に利用可能な形態に変換する,,"biology,academic,hard"
CRISPR-Cas9 enables precise editing of genomic sequences,CRISPR-Cas9はゲノム配列の精密な編集を可能にする,,"biology,academic,hard"
antibodies bind to specific antigens to neutralize pathogens,抗体は特定の抗原に結合して病原体を中和する,,"biology,academic,hard"
the Golgi apparatus modifies sorts and packages proteins for secretion,ゴルジ体はタンパク質を修飾し選別し分泌用に梱包する,,"biology,academic,hard"
ecological succession describes the gradual change in species composition over time,生態遷移は時間の経過に伴う種構成の段階的変化を表す,,"biology,academic,hard"
the action potential propagates along the axon via sodium and potassium ion exchange,活動電位はナトリウムとカリウムイオンの交換を介して軸索に沿って伝播する,,"biology,academic,hard"
plasmids are small circular DNA molecules found in bacteria,プラスミドは細菌に見られる小さな環状DNA分子である,,"biology,academic,hard"
the food web illustrates complex feeding relationships within an ecosystem,食物網は生態系内の複雑な摂食関係を図示する,,"biology,academic,hard"
ATP synthase generates adenosine triphosphate using the proton gradient,ATP合成酵素はプロトン勾配を利用してアデノシン三リン酸を生成する,,"biology,academic,hard"
convergent evolution produces similar traits in unrelated organisms facing similar environments,収斂進化は類似した環境に直面する無関係の生物に類似した形質をもたらす,,"biology,academic,hard"
