text,translation,note,categories
the defendant pleaded not guilty to all charges,被告はすべての容疑に対して無罪を主張した,,"law,legal,medium"
the jury deliberated for three days before reaching a unanimous verdict,陪審員は全会一致の評決に達するまで3日間審議した,,"law,legal,medium"
habeas corpus protects individuals from unlawful detention by the state,人身保護令状は国家による不法な拘留から個人を守る,,"law,legal,hard"
the contract is void if either party was under duress at the time of signing,署名時にいずれかの当事者が強迫下にあった場合 契約は無効である,,"law,legal,hard"
the prosecution must prove guilt beyond a reasonable doubt,検察は合理的な疑いを超えて有罪を証明しなければならない,,"law,legal,medium"
the statute of limitations sets the maximum time after an event for legal proceedings,出訴期限法は法的手続きの対象となる事象後の最長期間を定める,,"law,legal,hard"
a precedent set by a higher court is binding on all lower courts,上級裁判所が設定した判例はすべての下級裁判所を拘束する,,"law,legal,medium"
the attorney filed a motion to suppress illegally obtained evidence,弁護士は違法に入手された証拠の排除申立てを行った,,"law,legal,hard"
copyright law protects original works of authorship for a limited period,著作権法は創作物を限られた期間保護する,,"law,legal,medium"
the arbitration clause requires disputes to be resolved outside of court,仲裁条項は紛争を裁判外で解決することを求める,,"law,legal,medium"
due process ensures fair treatment through the judicial system,適正手続きは司法制度を通じて公正な扱いを保証する,,"law,legal,medium"
the witness was placed under oath before giving testimony,証人は証言する前に宣誓のもとに置かれた,,"law,legal,easy"
the appellate court reversed the lower court's decision on procedural grounds,控訴裁判所は手続き上の理由で下級裁判所の決定を覆した,,"law,legal,hard"
intellectual property rights include patents trademarks and trade secrets,知的財産権には特許・商標・営業秘密が含まれる,,"law,legal,medium"
the plea bargain allowed the defendant to receive a reduced sentence,司法取引により被告はより軽い刑を受けることができた,,"law,legal,medium"
negligence occurs when a duty of care is breached causing harm to another,過失は注意義務に違反し他者に損害を与えたときに発生する,,"law,legal,medium"
the subpoena compelled the executive to appear before the grand jury,召喚状により経営幹部は大陪審に出頭することを強制された,,"law,legal,hard"
the constitution establishes the fundamental principles governing a nation,憲法は国を統治する基本原則を確立する,,"law,legal,medium"
the judge issued a restraining order to protect the victim from further harassment,裁判官はさらなるハラスメントから被害者を保護するための接近禁止命令を発令した,,"law,legal,medium"
tort law addresses civil wrongs that cause harm or loss to individuals,不法行為法は個人に損害を与える民事上の不正行為を扱う,,"law,legal,hard"
the Miranda warning informs suspects of their right to remain silent,ミランダ警告は容疑者に黙秘権があることを告げる,,"law,legal,medium"
the class action lawsuit was filed on behalf of thousands of affected consumers,集団訴訟は何千人もの影響を受けた消費者を代表して提起された,,"law,legal,medium"
the burden of proof in civil cases is based on the balance of probabilities,民事事件における立証責任は蓋然性の衡量に基づく,,"law,legal,hard"
eminent domain allows the government to acquire private property for public use,収用権は政府が公共の用途のために私有財産を取得することを認める,,"law,legal,hard"
the double jeopardy clause prevents being tried twice for the same offense,二重処罰の禁止条項は同一の犯罪で二度裁かれることを防ぐ,,"law,legal,hard"
the litigant hired a team of corporate lawyers to handle the complex case,訴訟当事者は複雑な事件を扱うために企業法務弁護士のチームを雇った,,"law,legal,medium"
whistleblower protection laws shield employees who report illegal activities,内部告発者保護法は違法行為を報告する従業員を守る,,"law,legal,medium"
the legal doctrine of stare decisis maintains consistency in judicial rulings,先例拘束の法的原則は司法判断の一貫性を維持する,,"law,legal,hard"
the search warrant must specify the location and items to be searched,捜索令状は捜索する場所と物品を明記しなければならない,,"law,legal,medium"
corporate governance regulations ensure transparency and accountability in business,コーポレートガバナンス規制は企業の透明性と説明責任を確保する,,"law,legal,medium"
the bail hearing determined whether the accused could be released before trial,保釈審問は被告人が裁判前に釈放されるかどうかを決定した,,"law,legal,medium"
international law governs relations between sovereign states and international organizations,国際法は主権国家と国際機関の間の関係を統治する,,"law,legal,medium"
the fiduciary duty requires acting in the best interest of another party,受託者責任は他者の最善の利益のために行動することを求める,,"law,legal,hard"
the verdict was delivered after the jury considered all the evidence presented,すべての提出された証拠を陪審員が検討した後に評決が下された,,"law,legal,easy"
freedom of speech is a fundamental right protected by many constitutions,言論の自由は多くの憲法によって保護される基本的権利である,,"law,legal,easy"
the notary public certified the document with an official seal and signature,公証人が公式の印章と署名で書類を認証した,,"law,legal,medium"
antitrust laws prevent monopolies and promote fair competition in the marketplace,独占禁止法は独占を防止し市場での公正な競争を促進する,,"law,legal,medium"
the extradition treaty allows the transfer of suspects between two countries,犯罪人引渡条約は2国間での容疑者の移送を可能にする,,"law,legal,hard"
the legal aid program provides free representation to those who cannot afford an attorney,法律扶助制度は弁護士を雇えない人々に無料の弁護を提供する,,"law,legal,medium"
the non-disclosure agreement prohibits sharing confidential business information,秘密保持契約は機密事業情報の共有を禁止する,,"law,legal,medium"
the court of appeals reviews decisions made by trial courts for legal errors,控訴裁判所は一審裁判所の決定に法的誤りがないかを審査する,,"law,legal,medium"
defamation law protects individuals from false statements that damage their reputation,名誉毀損法は評判を傷つける虚偽の陳述から個人を保護する,,"law,legal,medium"
the probation officer supervises offenders who have been released into the community,保護観察官は地域社会に釈放された犯罪者を監督する,,"law,legal,medium"
the doctrine of separation of powers divides government into legislative executive and judicial branches,権力分立の原則は政府を立法・行政・司法の三権に分ける,,"law,legal,medium"
mediation offers a less adversarial alternative to resolving disputes through litigation,調停は訴訟を通じた紛争解決に対するより対立的でない代替手段を提供する,,"law,legal,medium"
the tax code specifies the rules for calculating and paying federal and state taxes,税法は連邦税と州税の計算と支払いの規則を規定する,,"law,legal,medium"
the accused exercised their right to a trial by a jury of their peers,被告人は同等の者からなる陪審による裁判を受ける権利を行使した,,"law,legal,medium"
the power of attorney grants someone the legal authority to act on behalf of another,委任状は他者を代理して法的に行動する権限を誰かに与える,,"law,legal,medium"
environmental law regulates the interaction between humans and the natural environment,環境法は人間と自然環境の間の相互作用を規制する,,"law,legal,medium"
the pro bono work of the law firm provided legal services to underprivileged communities,法律事務所のプロボノ活動は恵まれないコミュニティに法的サービスを提供した,,"law,legal,medium"
the injunction ordered the company to cease its harmful business practices immediately,差止命令は会社に有害な商慣行を直ちに停止するよう命じた,,"law,legal,hard"
the forensic evidence presented in court was crucial in securing the conviction,法廷に提出された法医学的証拠は有罪判決を確保するのに極めて重要だった,,"law,legal,medium"
sovereign immunity protects governments from being sued without their consent,主権免除は政府がその同意なしに訴えられることを防ぐ,,"law,legal,hard"
the legal principle of res judicata prevents the same matter from being relitigated,既判力の法的原則は同一事項の再訴訟を防止する,,"law,legal,hard"
the trust deed transferred ownership of the property to the trustee,信託証書は財産の所有権を受託者に移転した,,"law,legal,hard"
labor law establishes minimum standards for wages working hours and workplace safety,労働法は賃金・労働時間・職場の安全に関する最低基準を確立する,,"law,legal,medium"
the affidavit is a sworn written statement used as evidence in court proceedings,宣誓供述書は裁判手続きにおいて証拠として使用される宣誓した書面陳述書である,,"law,legal,hard"
the right to privacy is increasingly challenged by digital surveillance technologies,プライバシーの権利はデジタル監視技術によりますます脅かされている,,"law,legal,medium"
the ombudsman investigates complaints against public authorities and organizations,オンブズマンは公的機関や組織に対する苦情を調査する,,"law,legal,medium"
the bankruptcy filing allowed the company to restructure its debts under court supervision,破産申請により会社は裁判所の監督下で債務を再編することができた,,"law,legal,medium"
the Geneva Conventions establish the standards of international humanitarian law in wartime,ジュネーブ条約は戦時における国際人道法の基準を確立する,,"law,legal,hard"
the deposition transcript recorded the witness's testimony before the trial began,証人の証言録取書は裁判が始まる前に証人の証言を記録した,,"law,legal,hard"
consumer protection laws prevent deceptive advertising and unfair business practices,消費者保護法は虚偽広告と不公正な商慣行を防止する,,"law,legal,medium"
the judicial review process allows courts to examine the legality of government actions,違憲審査制度は裁判所が政府の行動の合法性を審査することを可能にする,,"law,legal,hard"
the litigation process can be lengthy and expensive for both parties involved,訴訟プロセスは関与する双方にとって長期かつ高額になり得る,,"law,legal,easy"
the criminal justice system aims to balance punishment with rehabilitation,刑事司法制度は罰と更生のバランスを目指す,,"law,legal,medium"
the constitutional right to a fair trial is a cornerstone of democratic societies,公正な裁判を受ける憲法上の権利は民主社会の礎である,,"law,legal,medium"
the chain of custody ensures that evidence is properly handled from collection to presentation,証拠の管理連鎖は証拠が収集から提出まで適切に取り扱われることを保証する,,"law,legal,hard"
the treaty was ratified by all member states after extensive diplomatic negotiations,広範な外交交渉の後 条約はすべての加盟国によって批准された,,"law,legal,medium"
the legal concept of mens rea refers to the mental state required to commit a crime,メンズ・レアの法的概念は犯罪を犯すために必要な精神状態を指す,,"law,legal,hard"
