text,translation,note,categories
preheat the oven to 180 degrees Celsius before baking the cake,ケーキを焼く前にオーブンを180度に予熱する,,"food,cooking,easy"
dice the onions and saute them in olive oil until golden brown,玉ねぎをみじん切りにしオリーブオイルできつね色になるまで炒める,,"food,cooking,easy"
fold the flour gently into the batter to keep it light and fluffy,生地が軽くてふわふわになるように小麦粉を優しく混ぜ込む,,"food,cooking,medium"
marinate the chicken overnight for the best flavor,最高の風味を得るために鶏肉を一晩漬け込む,,"food,cooking,easy"
reduce the sauce over low heat until it thickens,とろみがつくまで弱火でソースを煮詰める,,"food,cooking,easy"
season the steak generously with salt and freshly ground black pepper,ステーキに塩と挽きたての黒コショウをたっぷりまぶす,,"food,cooking,easy"
blanch the vegetables in boiling water for two minutes then transfer to an ice bath,野菜を2分間沸騰したお湯でゆでてから氷水に移す,,"food,cooking,medium"
knead the bread dough for at least ten minutes until smooth and elastic,パン生地を滑らかで弾力が出るまで少なくとも10分こねる,,"food,cooking,medium"
the sourdough starter needs to be fed twice daily with equal parts flour and water,サワードウのスターターは小麦粉と水を同量で1日2回補給する必要がある,,"food,cooking,medium"
deglaze the pan with white wine to create a rich and flavorful sauce,白ワインでパンの底をこそぎ取り風味豊かなソースを作る,,"food,cooking,medium"
fermentation is the process that gives yogurt its tangy flavor,発酵はヨーグルトに酸味を与えるプロセスである,,"food,cooking,medium"
temper the chocolate by heating and cooling it to achieve a glossy finish,光沢のある仕上がりにするためにチョコレートを加熱と冷却で調温する,,"food,cooking,hard"
the Maillard reaction creates the brown crust on seared meat,メイラード反応が焼いた肉の茶色い皮を作る,,"food,cooking,hard"
julienne the carrots into thin matchstick-sized strips,にんじんをマッチ棒サイズの細い千切りにする,,"food,cooking,medium"
the caramelized sugar adds a deep sweet flavor to the dessert,カラメル化した砂糖がデザートに深い甘みを加える,,"food,cooking,medium"
proof the yeast in warm water before adding it to the dough,生地に加える前にぬるま湯でイーストを発酵させる,,"food,cooking,medium"
a pinch of nutmeg enhances the flavor of cream-based sauces,少量のナツメグがクリームベースのソースの風味を引き立てる,,"food,cooking,easy"
the stock should simmer for at least four hours to extract maximum flavor,最大限の風味を引き出すためにだし汁は少なくとも4時間煮込むべきだ,,"food,cooking,medium"
