text,translation,note,categories
the quick brown fox jumps over the lazy dog,すばしこい茶色の狐がのろまな犬を飛び越える,,"typing,pangram,medium"
pack my box with five dozen liquor jugs,私の箱に酒びんを5ダース詰めて,,"typing,pangram,medium"
how vexingly quick daft zebras jump,ばかなシマウマがいら立つほど素早く跳ねる,,"typing,pangram,medium"
sphinx of black quartz judge my vow,黒い水晶のスフィンクスよ私の誓いを裁け,,"typing,pangram,medium"
the five boxing wizards jump quickly,5人のボクシング魔法使いがすばやく跳ぶ,,"typing,pangram,medium"
jackdaws love my big sphinx of quartz,コクマルガラスたちは私の大きな水晶のスフィンクスを愛している,,"typing,pangram,medium"
fix problem quickly with galvanized jets,亜鉛めっきのジェット機で問題をすばやく解決せよ,,"typing,pangram,medium"
crazy Frederick bought many very exquisite opal jewels,風変わりなフレデリックは見事なオパールの宝石をたくさん買った,,"typing,pangram,medium"
we promptly judged antique ivory buckles for the next prize,私たちは次の賞のために古い象牙のバックルをすばやく査定した,,"typing,pangram,medium"
a mad boxer shot a quick gloved jab to the jaw of his dizzy opponent,狂ったボクサーが目の回った相手のあごに素早いグローブのジャブを打ち込んだ,,"typing,pangram,medium"
the job requires extra pluck and zeal from every young wage earner,その仕事には若い働き手全員の勇気と熱意が一層求められる,,"typing,pangram,medium"
six big devils from Japan quickly forgot how to waltz,日本から来た6匹の大きな悪魔はどうワルツを踊るかをすぐ忘れた,,"typing,pangram,medium"
amazingly few discotheques provide jukeboxes,驚くほど少ないディスコしかジュークボックスを置いていない,,"typing,pangram,medium"
back in my quaint garden jaunty zinnias vie with flaunting phlox,私の古風な庭では陽気なジニアが派手なフロックスと競い合う,,"typing,pangram,medium"
few black taxis drive up major roads on quiet hazy nights,少数の黒いタクシーが静かでもやの夜に大通りを走る,,"typing,pangram,medium"
quickly mixing the exotic flavors proved zesty and bold,異国風の味を素早く混ぜると刺激的で大胆な仕上がりになった,,"typing,pangram,medium"
just keep examining every low bid quoted for zinc etchings,亜鉛の版画向けに見積もられた安値を一つ残らず調べ続けよ,,"typing,pangram,medium"
how quickly daft jumping zebras vex,どれほど素早く愚かなシマウマが跳ねていら立たせることか,,"typing,pangram,medium"
blowzy red vixens fight for a quick jump,けばけばしい赤い雌ギツネたちが素早い跳躍を競っている,,"typing,pangram,medium"
"go, lazy fat vixen be shrewd, jump quickly",怠け者の太った雌ギツネよ 賢くして素早く跳べ,,"typing,pangram,medium"
sphinx of black quartz hear my vow,黒い水晶のスフィンクスよ 私の誓いを聞け,,"typing,pangram,medium"
five quacking zephyrs jolt my wax bed,五つのガーガー鳴く西風が私のろうの寝台を揺らす,,"typing,pangram,medium"
grumpy wizards make toxic brew for the evil queen and jack,気難しい魔法使いたちが邪悪な女王とジャックのために有毒な薬を作る,,"typing,pangram,medium"
vexed nymphs go for quick waltz job,いらだったニンフたちは素早いワルツの仕事へ向かう,,"typing,pangram,medium"
waltz bad nymph for quick jigs vex,意地悪なニンフよ 素早いジグで人をいら立たせながら踊れ,,"typing,pangram,medium"
