text,translation,note
I am writing to follow up on our previous conversation,先日の会話についてフォローアップのためご連絡しています,
please find the attached report for your review,ご確認用に報告書を添付いたします,
could you please confirm your availability for next week,来週のご都合をご確認いただけますでしょうか,
I wanted to touch base regarding the upcoming deadline,近づいている締切について確認のためご連絡しました,
we appreciate your continued support and partnership,継続的なご支援とご協力に感謝いたします,
kindly review the document and provide your feedback,資料をご確認のうえご意見をお聞かせください,
I look forward to our meeting on Thursday afternoon,木曜午後の打ち合わせを楽しみにしております,
please do not hesitate to contact me if you have any questions,ご質問がありましたらどうぞご遠慮なくご連絡ください,
we regret to inform you that the event has been postponed,イベント延期となったことを残念ながらお知らせいたします,
the project is currently on track and within budget,プロジェクトは現在予定どおりかつ予算内で進行しています,
I am pleased to inform you that your application has been approved,あなたの申請が承認されたことをお知らせできてうれしく思います,
as per our discussion we have revised the proposal accordingly,ご相談に基づき提案書を修正いたしました,
let us schedule a call to discuss the next steps in detail,次のステップを詳しく話すために通話を設定しましょう,
please ensure all deliverables are submitted before the deadline,すべての成果物を締切前に提出するようにしてください,
I would like to request an extension until the end of the month,月末まで延長をご依頼したく存じます,
thank you for bringing this matter to our attention,この件をご指摘いただきありがとうございます,
we are committed to resolving this issue as quickly as possible,この問題をできるだけ早く解決することをお約束します,
your feedback has been shared with the relevant team members,あなたのご意見は関係チームへ共有済みです,
this is a gentle reminder about the invoice due on April 30,4月30日期限の請求書について念のためご連絡します,
we have successfully completed the onboarding process,オンボーディング手続きを無事完了しました,
the board has approved the budget for the next fiscal year,取締役会は次年度の予算を承認しました,
I will circle back with you after the internal review is done,社内レビュー完了後に改めてご連絡します,
please confirm receipt of this message at your earliest convenience,このメッセージを受領したらお早めにご確認ください,
the terms and conditions are subject to change without notice,利用条件は予告なく変更される場合があります,
we value your business and strive to exceed your expectations,私たちはお客様を大切にし期待を超える価値提供に努めます,
