text,translation,note,categories
the Industrial Revolution transformed manufacturing and society in the eighteenth century,産業革命は18世紀に製造業と社会を変革した,,"history,culture,medium"
the ancient Egyptians built the pyramids as tombs for their pharaohs,古代エジプト人はファラオの墓としてピラミッドを建設した,,"history,culture,easy"
the printing press invented by Gutenberg revolutionized the spread of knowledge,グーテンベルクが発明した印刷機は知識の普及を革命的に変えた,,"history,culture,medium"
the fall of the Berlin Wall in 1989 symbolized the end of the Cold War,1989年のベルリンの壁の崩壊は冷戦の終結を象徴した,,"history,culture,medium"
the Silk Road connected East and West facilitating trade and cultural exchange,シルクロードは東西を結び貿易と文化交流を促進した,,"history,culture,medium"
the French Revolution of 1789 overthrew the monarchy and established a republic,1789年のフランス革命は君主制を倒し共和国を樹立した,,"history,culture,medium"
the Renaissance was a cultural movement that began in Italy in the fourteenth century,ルネサンスは14世紀にイタリアで始まった文化運動だった,,"history,culture,medium"
the Age of Exploration led European navigators to discover new continents,大航海時代はヨーロッパの航海者が新大陸を発見することにつながった,,"history,culture,medium"
the Roman Empire at its peak controlled territory spanning three continents,ローマ帝国は最盛期に3大陸にまたがる領土を支配した,,"history,culture,medium"
the Magna Carta of 1215 limited the power of the English monarch,1215年のマグナカルタはイングランド国王の権力を制限した,,"history,culture,hard"
the samurai were a warrior class in feudal Japan who followed a strict code of honor,侍は封建時代の日本の武士階級で厳格な名誉の掟に従った,,"history,culture,medium"
the abolition of slavery in the United States was achieved through the Thirteenth Amendment,合衆国での奴隷制廃止は第13修正条項によって達成された,,"history,culture,hard"
ancient Greek democracy allowed citizens to vote directly on laws and policies,古代ギリシャの民主主義は市民が法律と政策に直接投票することを認めた,,"history,culture,medium"
the invention of the telephone by Alexander Graham Bell changed global communication,アレクサンダー・グラハム・ベルによる電話の発明はグローバルなコミュニケーションを変えた,,"history,culture,medium"
the Aztec Empire ruled central Mexico before the Spanish conquest in 1521,アステカ帝国は1521年のスペイン征服前に中央メキシコを支配していた,,"history,culture,hard"
the moon landing in 1969 was one of the greatest achievements in human history,1969年の月面着陸は人類史上最大の偉業の一つだった,,"history,culture,easy"
the Great Wall of China was built over many centuries to protect against invasions,万里の長城は侵略から守るために何世紀もかけて建設された,,"history,culture,easy"
the Ottoman Empire lasted for over six hundred years from 1299 to 1922,オスマン帝国は1299年から1922年まで600年以上続いた,,"history,culture,hard"
the Declaration of Independence proclaimed the colonies' freedom from British rule,独立宣言は植民地のイギリス統治からの自由を宣言した,,"history,culture,medium"
the Vikings explored and settled across Europe and even reached North America,バイキングはヨーロッパ各地を探検し定住し北米にも到達した,,"history,culture,medium"
the Cultural Revolution in China from 1966 to 1976 dramatically reshaped society,1966年から1976年の中国の文化大革命は社会を劇的に再形成した,,"history,culture,hard"
the Enlightenment emphasized reason and individualism over traditional authority,啓蒙時代は伝統的な権威よりも理性と個人主義を重視した,,"history,culture,medium"
the Taj Mahal was built by Mughal Emperor Shah Jahan as a memorial for his wife,タージ・マハルはムガル皇帝シャー・ジャハーンが妻の記念碑として建設した,,"history,culture,medium"
the Black Death killed an estimated one-third of Europe's population in the fourteenth century,ペストは14世紀にヨーロッパの人口の推定3分の1を死亡させた,,"history,culture,hard"
the Meiji Restoration of 1868 modernized Japan and ended the shogunate system,1868年の明治維新は日本を近代化し幕藩体制を終わらせた,,"history,culture,hard"
the ancient Library of Alexandria was one of the largest repositories of knowledge in the ancient world,古代アレクサンドリア図書館は古代世界最大の知識の宝庫の一つだった,,"history,culture,medium"
the civil rights movement in the United States fought against racial segregation,合衆国の公民権運動は人種差別に対して戦った,,"history,culture,medium"
the Rosetta Stone enabled scholars to decipher Egyptian hieroglyphics,ロゼッタストーンは学者がエジプトのヒエログリフを解読することを可能にした,,"history,culture,hard"
the Treaty of Versailles officially ended World War One in 1919,ヴェルサイユ条約は1919年に正式に第一次世界大戦を終結させた,,"history,culture,medium"
the Inca Empire built an extensive road network across the Andes mountains,インカ帝国はアンデス山脈を横断する広大な道路網を建設した,,"history,culture,medium"
the invention of the steam engine powered the Industrial Revolution,蒸気機関の発明が産業革命を動力で支えた,,"history,culture,medium"
Confucianism has shaped Chinese culture and philosophy for over two thousand years,儒教は2千年以上にわたって中国の文化と哲学を形成してきた,,"history,culture,medium"
the Cold War was a geopolitical rivalry between the United States and the Soviet Union,冷戦はアメリカとソ連の間の地政学的な競争だった,,"history,culture,medium"
the Gutenberg Bible was the first major book printed using movable type in Europe,グーテンベルク聖書はヨーロッパで活版印刷を使って印刷された最初の主要書物だった,,"history,culture,hard"
the Parthenon in Athens is a symbol of ancient Greek civilization and democracy,アテネのパルテノン神殿は古代ギリシャ文明と民主主義の象徴である,,"history,culture,medium"
the transatlantic slave trade forcibly displaced millions of Africans over several centuries,大西洋奴隷貿易は数世紀にわたって何百万人ものアフリカ人を強制的に移住させた,,"history,culture,hard"
the Hanseatic League was a powerful medieval trading alliance in Northern Europe,ハンザ同盟は北ヨーロッパにおける強力な中世の貿易同盟だった,,"history,culture,hard"
the discovery of penicillin by Alexander Fleming revolutionized modern medicine,アレクサンダー・フレミングによるペニシリンの発見は現代医学を革命的に変えた,,"history,culture,medium"
the ancient Roman aqueducts transported water across vast distances using gravity,古代ローマの水道橋は重力を利用して広大な距離にわたって水を輸送した,,"history,culture,medium"
the Reformation challenged the authority of the Catholic Church in the sixteenth century,宗教改革は16世紀にカトリック教会の権威に挑戦した,,"history,culture,hard"
the universal declaration of human rights was adopted by the United Nations in 1948,世界人権宣言は1948年に国際連合によって採択された,,"history,culture,medium"
the ancient Olympic Games were held in Olympia Greece starting in 776 BC,古代オリンピック競技大会は紀元前776年にギリシャのオリンピアで始まった,,"history,culture,medium"
the Mongol Empire under Genghis Khan was the largest contiguous land empire in history,チンギス・ハーンの下のモンゴル帝国は史上最大の陸続きの帝国だった,,"history,culture,hard"
the tea ceremony in Japan embodies principles of harmony respect purity and tranquility,日本の茶道は和・敬・清・寂の原則を体現する,,"history,culture,medium"
the Wright brothers achieved the first powered airplane flight in 1903,ライト兄弟は1903年に初の動力飛行機での飛行を達成した,,"history,culture,easy"
the Byzantine Empire preserved Roman culture and knowledge for over a thousand years,ビザンツ帝国は千年以上にわたりローマの文化と知識を保存した,,"history,culture,hard"
the Harlem Renaissance celebrated African American culture through art music and literature,ハーレム・ルネサンスは芸術・音楽・文学を通じてアフリカ系アメリカ人の文化を讃えた,,"history,culture,medium"
the compass was one of the four great inventions of ancient China,羅針盤は古代中国の四大発明の一つだった,,"history,culture,medium"
the Marshall Plan helped rebuild Western Europe's economy after World War Two,マーシャルプランは第二次世界大戦後の西ヨーロッパの経済再建を助けた,,"history,culture,medium"
indigenous Australian culture is one of the oldest continuous cultures in the world,オーストラリア先住民の文化は世界で最も古い連続文化の一つである,,"history,culture,medium"
the Suez Canal opened in 1869 connecting the Mediterranean Sea to the Red Sea,スエズ運河は1869年に開通し地中海と紅海を結んだ,,"history,culture,medium"
the feudal system organized medieval European society into a hierarchy of lords and vassals,封建制度は中世ヨーロッパ社会を領主と家臣の序列に組織した,,"history,culture,hard"
the space race between the US and USSR drove rapid advances in technology,米ソ間の宇宙開発競争が技術の急速な進歩を推進した,,"history,culture,medium"
the Phoenicians developed one of the earliest alphabets in human history,フェニキア人は人類史上最初期のアルファベットの一つを開発した,,"history,culture,hard"
the Green Revolution increased agricultural production through high-yield crop varieties,緑の革命は高収量の作物品種を通じて農業生産を増加させた,,"history,culture,medium"
the Terracotta Army was created to protect Emperor Qin Shi Huang in the afterlife,兵馬俑は秦始皇帝を来世で守るために作られた,,"history,culture,medium"
the women's suffrage movement fought for the right of women to vote in elections,女性参政権運動は女性の選挙での投票権のために戦った,,"history,culture,medium"
