text,translation,note,categories
Their trainer said there was no reason to lose their rhythm after the early error.,序盤のミスのあとでもリズムを失う必要はないとトレーナーは言った,their there repeats,"typing-game,lookalike,typo-prone"
We were quite sure the quiet room would help us focus on the next round.,静かな部屋なら次のラウンドに集中できると私たちはかなり確信していた,quite quiet swap,"typing-game,lookalike,typo-prone"
Please choose the card you meant to use because I already chose the other one.,私はもう片方を選んだので あなたは使うつもりだったカードを選んでください,choose chose pair,"typing-game,lookalike,typo-prone"
I kept reading form instead of from when the prompt flashed across the screen too quickly.,画面に表示されたお題が速すぎて from の代わりに form と読んでしまった,form from reversal,"typing-game,lookalike,typo-prone"
The angel at the top of the tree looked down at the angle of the ornament below.,木のてっぺんの天使が下の飾りの角度を見下ろした,angel angle swap,"typing-game,lookalike,typo-prone"
You should not accept the offer except when the terms clearly favor your side.,条件があなたに有利な場合を除いて その提案を受け入れるべきではない,accept except,"typing-game,lookalike,typo-prone"
She wanted to alter the dress before she walked up to the altar.,彼女は祭壇に向かう前にドレスを修正したかった,alter altar,"typing-game,lookalike,typo-prone"
The dairy farmer kept a daily diary about the health of every cow.,酪農家はすべての牛の健康について毎日日記をつけた,dairy diary,"typing-game,lookalike,typo-prone"
We need to ensure our company will insure all the new equipment.,新しい機器すべてに保険をかけることを確認しなければならない,ensure insure,"typing-game,lookalike,typo-prone"
The desert was so hot that everyone skipped dessert and asked for cold water instead.,砂漠はとても暑かったので全員がデザートを省略し冷水を求めた,desert dessert,"typing-game,lookalike,typo-prone"
The dog's loose tooth finally came loose during the game of tug.,犬の緩んだ歯がつな引きの遊び中にとうとう取れた,lose loose,"typing-game,lookalike,typo-prone"
The stationary bike sat in the corner while she picked up some stationery.,ステーショナリーバイクが隅にあるまま 彼女は文房具を手に取った,stationary stationery,"typing-game,lookalike,typo-prone"
The effect of the new policy will affect everyone in the company.,新しい方針の効果は会社の全員に影響を与える,effect affect,"typing-game,lookalike,typo-prone"
She gave me a compliment on my outfit that was a perfect complement to the event.,彼女は私の服装を褒めてくれたがそれはイベントの完璧な補完だった,compliment complement,"typing-game,lookalike,typo-prone"
The principal of the school explained the main principle of the new education plan.,校長は新しい教育計画の主な原則を説明した,principal principle,"typing-game,lookalike,typo-prone"
Whether the weather cooperates or not we will proceed with the outdoor event.,天気が味方してくれるかどうかにかかわらず屋外イベントは続行する,weather whether,"typing-game,lookalike,typo-prone"
I want to elicit a response but I know the question touches on an illicit topic.,反応を引き出したいがその質問が不正な話題に触れることは知っている,elicit illicit,"typing-game,lookalike,typo-prone"
The council reached a consensus after the counsel of the legal advisor.,法律顧問の助言のあと議会は合意に達した,council counsel,"typing-game,lookalike,typo-prone"
We walked through thorough inspections before going through the tunnel.,トンネルを通る前に徹底的な検査を通過した,through thorough,"typing-game,lookalike,typo-prone"
He was too tired to walk to the store for the remaining two items.,残りの2品を買いに店まで歩くには疲れすぎていた,too two to,"typing-game,lookalike,typo-prone"
She decided to adopt the new strategy and adapt it to her team's workflow.,彼女は新しい戦略を採用しチームのワークフローに適応させることにした,adopt adapt,"typing-game,lookalike,typo-prone"
The patient showed great patience while waiting for the test results.,患者は検査結果を待つ間 大変な忍耐力を見せた,patient patience,"typing-game,lookalike,typo-prone"
He tried to peek at the peak of the mountain through the clouds.,雲の切れ間から山の頂上を覗こうとした,peek peak,"typing-game,lookalike,typo-prone"
The bear could barely bear the weight of the heavy logs.,クマは重い丸太の重さにほとんど耐えられなかった,bear bare,"typing-game,lookalike,typo-prone"
The knight worked through the night to finish his armor before dawn.,騎士は夜明け前に鎧を完成させるために夜通し作業した,knight night,"typing-game,lookalike,typo-prone"
The miner was a minor who discovered a major vein of gold underground.,その鉱夫は地下で主要な金脈を発見した未成年者だった,miner minor,"typing-game,lookalike,typo-prone"
